Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8090844570617459,0.6830985915492958,0.5201072386058981,0.5905631659056316
Random Forest,0.7955997161107168,0.660377358490566,0.4691689008042895,0.54858934169279
XGBoost,0.7885024840312278,0.6237623762376238,0.5067024128686327,0.5591715976331361
